question_text_original,question_text_rewritten,answer,flag
"In days, what is the age difference between these high-fiving footballers?","In days, what is the age difference between footballers Jude Bellingham and Toni Kroos?","4,924 days (Jude Bellingham born June 29th 2003; Toni Kroos born January 4th 1990)",
"On the American Film Institute's 2002 list of the Top 100 greatest love stories in American cinema, how many places separate these two movies?","On the American Film Institute's 2002 list of the Top 100 greatest love stories in American cinema, how many places separate 'Big' (42nd) and 'Fargo' (93rd)?",51 (Big is at 42; Fargo at 93),
"In kilometres per hour, what is the difference between the top speeds of these two cars?","In kilometres per hour, what is the difference between the top speeds of the Porsche 918 Spyder and the Citroen 2CV (1962 model)?",260 kilometres per hour (Porsche 918 Spyder 345 km/h; Citroen 2CV [1962 model] 85 km/h]),
How many full months passed between the births of the two '60s icons pictured here?,How many full months passed between the births of '60s icons Andy Warhol and Mick Jagger?,"179 months (Andy Warhol b. 1928, Mick Jagger b. 1943)",
How many days apart were these guys first hired as head coach of the Spanish national football team?,How many days apart were Vicente del Bosque and Luis de la Fuente first hired as head coach of the Spanish national football team?,"5,259 days (Vicente del Bosque July 15th 2008; Luis de la Fuente December 8th 2022)",
How many weeks after this movie came out did the live-action spin-off TV series based on it first air on Netflix?,"How many weeks after 'The Karate Kid' came out did its live-action spin-off TV series, 'Cobra Kai', first air on Netflix?","1,888 weeks ('The Karate Kid' was released June 22nd 1984; 'Cobra Kai' first aired on Netflix on August 28th 2020)",
How many weeks separated the release of these similarly titled songs?,How many weeks separated the release of the similarly titled songs 'Rockstar' by Nickelback and 'Rockstar' by Post Malone?,578 weeks ('Rockstar' by Nickelback was released August 14th 2006; 'Rockstar' by Post Malone was released September 15th 2017),
How many weeks after this book was first published was its first film adaptation released in the USA?,"How many weeks after the Roald Dahl novel 'Matilda' was first published was its first film adaptation, directed by Danny DeVito, released in the USA?",409 weeks (The Roald Dahl novel 'Matilda' was published October 1st 1988; the Danny DeVito-directed film 'Matilda' was released August 2nd 1996),
"In the album version of this song, how many seconds pass before the title is sung for the first time?",,28 seconds,song not identified in answer text
How many days passed between the births of the two Marvel actors pictured here?,How many days passed between the births of Marvel actors Robert Downey Jr and Chris Evans?,"5,914 (Robert Downey Jr born 1965; Chris Evans born 1981)",
"Upon its release, how many days did it take this song to reach one billion streams on Spotify?","Upon its release, how many days did it take Drake's 'One Dance' to reach one billion streams on Spotify?",255 Drake's 'One Dance' was the first to reach the landmark; released on April 5th 2016; hit one billion streams on December 16th 2016,
"As the crow flies, to the nearest mile, how far apart were these celebrities born?","As the crow flies, to the nearest mile, how far apart were celebrities Tom Holland and Zendaya born?","5,348 miles (Tom Holland born in Kingston Upon Thames, England; Zendaya born in Oakland, California)",
How many seconds into the album version of this song is the title sung for the first time?,,78 seconds,song not identified in answer text
How many full months passed between the births of the two 'Gilmore Girls' actresses pictured here?,How many full months passed between the births of 'Gilmore Girls' actresses Lauren Graham and Alexis Bledel?,"174 months (Lauren Graham born 1967, Alexis Bledel born 1981)",
"As the crow flies, to the nearest mile, how far apart are the headquarters of these beer brands?",,"4,842 miles (Between Budejovice in Czechia and St Louis in Missouri)","which beer brands are referenced is inferred from the city names, not explicitly stated in answer text"
"Including pre-film credits, how many seconds into 'Wallace & Gromit: Vengeance Most Fowl' is this picture taken from?",,430 seconds (7 minutes and 10 seconds),specific film moment/scene cannot be identified from answer text
How many days separated this footballer's first Premier League goal and last Premier League goal?,How many days separated Wayne Rooney's first Premier League goal (for Everton) and his last Premier League goal (for Everton)?,"5,539 days (Wayne Rooney's first goal was for Everton on October 19th 2002; his last was for Everton on December 18th 2017)",
How many seconds pass in the Pixar movie 'Cars' before this character appears on screen for the first time?,,"1,696 seconds (28 minutes and 16 seconds)",character in 'Cars' not named in answer text
How many weeks separated the deaths of these musicians?,How many weeks separated the deaths of musicians John Lennon and George Harrison?,"1,094 weeks (John Lennon died December 8th 1980; George Harrison died November 29th 2001)",
"How many days were there between the birth of the Iggy at the top of this image, and the date that the other Iggy was inducted into the Rock & Roll Hall of Fame with his band?",How many days were there between the birth of Iggy Azalea and the date that Iggy Pop was inducted into the Rock & Roll Hall of Fame with his band?,"7,221 (Iggy Azalea born June 7th 1990; Iggy Pop inducted March 15th 2010)",
"According to statistics from britannica.com, in square miles, what is the size difference between the two national parks featured in the title of this TV show?",,"2,283 square miles (Yellowstone 3,472 square miles; Yosemite 1,189 square miles)",TV show title not explicitly stated in answer text
"Located in US state of Kansas, pictured here is a disused railway water tank. How many 250ml cans of Red Bull would you need to fill it to its capacity?","Located in the US state of Kansas, a disused railway water tank has a capacity of 50,000 gallons. How many 250ml cans of Red Bull would you need to fill it to its capacity?","757,083 cans (the water tank's capacity is 189,270,589.2ml or 50,000 gallons)",
How many years separated the death of the legendary outlaw depicted here and the movie that he is appearing in?,"How many years separated the death of outlaw Billy the Kid and the release of the movie he appears in, 'Bill & Ted's Excellent Adventure'?",108 years (Billy the Kid died in 1881; 'Bill & Ted's Excellent Adventure' was released in 1989),
How many days passed between the founding of the two e-commerce companies pictured here?,How many days passed between the founding of e-commerce companies Amazon (as Cadabra) and eBay (as AuctionWeb)?,"425 days (Amazon/Cadabra was founded in 1994, Ebay/AuctionWeb in 1995)",
"How many times is the word ""every"" sung in the album version of this song?",,54,song not identified in answer text
"In days, what is the age difference between these co-stars?","In days, what is the age difference between co-stars Ryan Gosling and Margot Robbie?","3,519 days (Ryan Gosling born Nov 12th 1980; Margot Robbie born July 2nd 1990)",
"To the nearest minute, what do you get if you add up the world records for fastest completion times of these three games?",,89 minutes and 13 seconds (Brazilian gamer Kojiroctr finished Crash Bandicoot in 40 mins 55 secs; US gamer GreenDeathFlavor completed Super Mario World in 9 mins 47 secs; Canadian gamer ChrisLBC compl,third game's world record holder and game title truncated/unconfirmed in answer text
For how many months had the lead actor of this movie lived in the USA at the time of the movie's premiere?,"For how many months had Arnold Schwarzenegger, lead actor of 'The Terminator', lived in the USA at the time of the movie's premiere?",192 months (Arnold Schwarzenegger moved to the USA in October 1968; 'The Terminator' premiered in October 1984),
"As the crow flies, to the nearest kilometre, how far apart are the cities in which these beer brands were founded?","As the crow flies, to the nearest kilometre, how far apart are the cities in which Guinness (Dublin) and Heineken (Amsterdam) were founded?",756 km (Between Dublin [home of Guinness] and Amsterdam [home of Heineken]),
The novel that this character first appears in was published how many MONTHS before the birth of the actor playing him?,"The novel 'The Hobbit', in which Bilbo Baggins first appears, was published how many months before the birth of Martin Freeman, the actor playing him?",408 months (Bilbo Baggins appeared in 'The Hobbit' that was published in September 1937; Martin Freeman was born in September 1971),
"To the nearest mile, as the crow flies, how far is it from the birthplace of this rapper to the first place he raps about in this hit single?",,"1,022 miles (From Wynnefield, West Philadelphia, to South Beach, Miami)",rapper and specific song not fully named in answer text
How many full months passed between the births of the two people pictured here?,How many full months passed between the births of Joe Biden and Barack Obama?,224 months (Joe Biden born 1942; Barack Obama born 1961),
How many days after this movie was released in Japan was the original American western remake released in the USA?,"How many days after 'Seven Samurai' was released in Japan was its American western remake, 'The Magnificent Seven', released in the USA?","1,630 days ('Seven Samurai' was released April 26th 1956; 'The Magnificent Seven' was released October 12th 1960)",
"Taking the date the guy on the right finished in the job and the date the guy on the left started, how many weeks separated these men's tenures as Governor of California?","Taking the date Arnold Schwarzenegger finished as Governor of California and the date Ronald Reagan started, how many weeks separated their tenures as Governor of California?","1,506 (Ronald Reagan was governor Jan 2nd 1967 to Jan 6th 1975; Arnold Schwarzenegger Nov 17th 2003 to Jan 3rd 2011)",
How many days passed between the US release dates of the two films pictured here?,How many days passed between the US release dates of 'Toy Story' and 'Toy Story 4'?,"8,615 days ('Toy Story' was released in 1995; 'Toy Story 4' in 2019)",
These celebrities share a name but they do not share a birthday. How many days separated their births?,The singer Michelle Williams and the actress Michelle Williams share a name but not a birthday. How many days separated their births?,414 days (The singer Michelle Williams was born July 23rd 1979; the actress Michelle Williams was born September 9th 1980),
In what year did this guy's parents get married?,In what year did Galileo Galilei's parents get married?,"1562 Pictured is Galileo Galilei, who was born in 1564",
How many days passed between the releases of the first episodes of the TV shows pictured here?,How many days passed between the releases of the first episodes of 'Breaking Bad' and 'Better Call Saul'?,"2,576 days ('Breaking Bad' premiered in 2008, and 'Better Call Saul' premiered in 2015)",
How many years separated the births of the historical figures being portrayed here in 'Bill & Ted's Excellent Adventure'?,"How many years separated the births of Socrates and Billy the Kid, the historical figures being portrayed in 'Bill & Ted's Excellent Adventure'?","2,328 years (Socrates was born 470 BC; Billy the Kid was born 1859)",
"With the answer taken from the progress bar while watching on Amazon Prime, how many seconds into the film 'Once Upon a Time... In Hollywood' does this frame appear?",,"6,940 seconds (1.55:40)",specific film moment/scene cannot be identified from answer text
"To the nearest month, what is the age difference between this guy's first wife and current wife?","To the nearest month, what is the age difference between Donald Trump's first wife, Ivana Trump, and his current wife, Melania Trump?",254 months (Ivana Trump born Feb 20th 1949; Melania Trump born April 26th 1970),
How many weeks separated the untimely deaths of this famous father and son?,How many weeks separated the untimely deaths of father and son Bruce Lee and Brandon Lee?,"1,027 weeks (Bruce Lee died July 20th 1973; Brandon Lee died March 31st 1993)",
"In days, what is the age difference between these rappers?","In days, what is the age difference between rappers Kendrick Lamar and Drake?",236 days (Kendrick Lamar was born June 17th 1987; Drake was born October 24th 1986),
"According to freemaptools.com, as the crow flies, to the nearest kilometre, how far is this tower from the original tower it is based upon?","According to freemaptools.com, as the crow flies, to the nearest kilometre, how far is the Las Vegas Eiffel Tower from the original Eiffel Tower in Paris that it is based upon?",8733.59 km (between the Las Vegas Eiffel Tower and the real Eiffel Tower in Paris),
"Including pre-film credits, how many minutes into this 1967 movie does the lead character say the iconic line ""they call me Mr Tibbs""?",,36 minutes (said by the actor Sidney Poitier),1967 movie title not named in answer text
"As the crow flies, to the nearest kilometre, how far apart are the hometowns of these actors?",,"3,864km (Rob McElhenney born in Philadelphia; Ryan Reynolds born in Vancouver)",these actors not identified in answer text
"In terms of weight, what percentage of this branded cheesy treat is the cheese, as opposed to its waxy exterior casing?",,85%,branded cheesy treat not named in answer text
How many months separated the introduction of these two companies' first vehicles?,,198 months (The Ferrari 125 S was released May 1947; the Lamborghini 350 GTv was released November 1963),these two companies not identified in answer text
"Including the opening credits, how many seconds pass in this movie before we see one of the main characters wake up hungover?",,"1,379 seconds (22 minutes and 59 seconds)",which movie and character are referenced not identified in answer text
This screenshot was taken how many minutes into the movie 'Mary Poppins'?,,104 minutes,specific film moment/scene cannot be identified from answer text
"Informally known as the 'Jenga Building', pictured here is 56 Leonard Street in New York alongside an actual Jenga set. If stacked as shown in the image, how many Jenga SETS like this one would you need to place on top of each other in order to achieve the height of 56 Leonard Street's roof?",,926 Jenga sets,specific stacking arrangement shown in image cannot be described from answer text
"To the nearest kilometre, as the crow flies, how far apart are the home grounds of this footballer's current club, and his previous club?","To the nearest kilometre, as the crow flies, how far apart are the home grounds of Kylian Mbappe's current club, Real Madrid (Bernabeu), and his previous club, PSG (Parc des Princes)?","1,044 km (Kylian Mbappé's current club, Real Madrid, play at the Bernabéu. His former club, PSG, play at Parc des Princes)",
How many days passed between the US release dates of the two products pictured here?,How many days passed between the US release dates of the PS1 and the PS2?,"1,874 days (the PS1 was released in 1995, the PS2 was released in 2000)",
How many seconds into the 'Baby Shark Dance' YouTube video is this picture from?,,52 seconds,specific video moment/frame cannot be identified from answer text
"Pictured here, what is the age difference in days between the actors who voice these two 'Simpsons' characters?","What is the age difference in days between Dan Castellaneta and Hank Azaria, the actors who voice two 'Simpsons' characters?","2,370 days (Dan Castellaneta born 1957; Hank Azaria born 1964)",
"According to transfermarkt.co.uk, what do you get if you add up the total number of competitive senior appearances that these footballers made for Paris Saint-Germain?","According to transfermarkt.co.uk, what do you get if you add up the total number of competitive senior appearances that Thiago Silva, Angel Di Maria, Neymar and Kylian Mbappe made for Paris Saint-Germain?","1,091 (Thiago Silva 315, Ángel Di María 295, Neymar 173, Kylian Mbappé 308)",
These two guys share the same name. But how many years after the guy at the top died was the guy at the bottom born?,Jack Johnson the boxer and Jack Johnson the singer share the same name. How many years after Jack Johnson the boxer died was Jack Johnson the singer born?,29 years (Jack Johnson the boxer died in 1946; Jack Johnson the singer was born in 1975),
How many months separated the births of the two actresses who starred as or voiced the title character in these movies?,"How many months separated the births of the two actresses who starred as or voiced Alice, the title character of 'Alice in Wonderland': Kathryn Beaumont (1951 film) and Mia Wasikowska (2010 film)?",628 months (Kathryn Beaumont who voiced Alice in the 1951 movie 'Alice in Wonderland' was born in 1937; Mia Wasikowska who played Alice in the 2010 film was born in 1989),
How many days separated the release of the first two movies in this film series?,,"3,024 (Between April 7th 1995 and July 18th 2003)",film series not identified in answer text
How many days separated the deaths of these two football legends?,How many days separated the deaths of football legends Diego Maradona and Pele?,764 days (Diego Maradona died November 25th 2020; Pelé died December 29th 2022),
"Forgetting about seasons, if you were to count each episode of 'Friends' from 1 to 236, what number episode featured this cameo?","Forgetting about seasons, if you were to count each episode of 'Friends' from 1 to 236, what number episode featured Danny DeVito's cameo as Officer Roy Goodbody?",229 (Season 10 episode 11 with Danny DeVito playing Officer Roy Goodbody),
How many seconds into the 'Baby Shark Dance' YouTube video was this picture taken from?,,92 seconds (1 minute 32 seconds),specific video moment/frame cannot be identified from answer text
This actor was born how many months after the character he is playing in this picture?,"Joaquin Phoenix was born how many months after Johnny Cash, the character he played in 'Walk the Line'?",512 months (From the film 'Walk the Line'; Joaquin Phoenix born Oct 28th 1974; Johnny Cash born Feb 26th 1932),
For how many days were these two celebrities legally married?,For how many days were Guy Ritchie and Madonna legally married?,"2,892 days (Guy Ritchie and Madonna were married between December 22nd 2000 and November 22nd 2008)",
How many full months passed between the two events shown here?,How many full months passed between the moon landing and Neil Armstrong's death?,"517 months (moon landing - 1969, Neil Armstrong's death - 2012)",
"With the answer taken from the progress bar while watching on Disney+, how many seconds into the film 'The Lion King' does this frame appear?",,"4,999 seconds (1.23:19)",specific film moment/frame cannot be identified from answer text
