question_text,question_type,answer,option_a,option_b,option_c,option_d,option_e,option_f,game,variation,has_picture,source_folder,source_file,times_seen,last_seen_folder,topic,stale_risk,stale_reason
Brothers Richard and Maurice McDonald opened the first McDonald's restaurant in California in what year?,multiple_choice,1940,1930,1940,1950,1960,1970,1980,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Food & Drink,,
What was the first name of the tennis player that founded this brand?,text_answer,René (René Lacoste),,,,,,,Quizsentials,,True,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Fashion,,
What is the Earth's largest continent by surface area?,multiple_choice,Asia,Africa,Asia,Antarctica,Australia,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Geography,,
"What year saw the release of the games 'Tomb Raider II', 'Crash Bandicoot 2: Cortex Strikes Back', and 'Need For Speed II'?",multiple_choice,1997,1992,1997,2002,2007,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,General Knowledge,,
Who played Robin Williams' wife in the 1993 movie 'Mrs Doubtfire'?,text_answer,Sally Field,,,,,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
One of the world's largest star sapphires can be found in New York City's American Museum of Natural History. What is its name?,multiple_choice,Star of India,Star of Africa,Star of Cairo,Star of India,Star of Bethlehem,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Art & Culture,,
"What is the stage name of the American rock 'n' roll singer and dancer pictured here, known for popularising the dance style 'The Twist'?",text_answer,Chubby Checker,,,,,,,Quizsentials,,True,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Music,,
"In police footage released earlier this month, who is pictured here covered in a blanket in the back of a police car?",text_answer,Tiger Woods,,,,,,,Quizsentials,,True,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references specific recent police footage
Rearrange these words to give the title of a hit song by Bon Jovi.,sequence,You -> Give -> Love -> A -> Bad -> Name,You,Give,Love,A,Bad,Name,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Music,,
"As well as their high-quality beers, Trappist monks are famous for their what?",multiple_choice,Silence,Honey,Long hair,Silence,Magic tricks,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Food & Drink,,
What type of vehicle is the title character in the children's TV show 'Ricky Zoom'?,multiple_choice,Motorbike,Motorbike,Racing car,Helicopter,Hovercraft,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
In which Italian city would you find this Shakespearian landmark?,text_answer,Verona (Juliet's balcony),,,,,,,Quizsentials,,True,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Literature & Language,,
"In Germany, what is a ""Kaufhaus""?",multiple_choice,Department Store,Library,Department Store,Hotel,Public Toilet,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Literature & Language,,
How many milligrams are in one gram?,number,1000,,,,,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Science & Nature,,
"In the periodic table, what is the symbol of the chemical element sodium?",text_answer,Na,,,,,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Science & Nature,,
"Put these countries in order of highest to lowest GDP, according to International Monetary Fund data.",sequence,USA -> China -> France -> Australia -> Botswana,USA,China,France,Australia,Botswana,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,2,20 Feb 2024,Current Affairs,Yes,IMF GDP data changes annually
Name this podcaster.,text_answer,Joe Rogan,,,,,,,Quizsentials,,True,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Current Affairs,,
What was the married name of '70s tennis star Evonne Goolagong?,text_answer,Cawley,,,,,,,Quizsentials,,False,15 Apr 2026,Round 1 - Keypad.sqq,1,15 Apr 2026,Sport,,
Which of these European countries is NOT a monarchy?,multiple_choice,Serbia,Denmark,Spain,Belgium,Serbia,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Geography,,
What is the name of the adopted baby of Barney and Betty Rubble?,text_answer,Bamm-Bamm,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
What would Koreans do with 'kimchi'?,multiple_choice,Eat it,Smoke it,Eat it,Wear it,Climb it,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Food & Drink,,
"Named after the Polish club whose fans brought it to wider attention across Europe, what is this celebration commonly known as?",text_answer,The Poznań,,,,,,,Quizsentials,,True,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Sport,,
Which of these blood pressures is considered ideal?,multiple_choice,110 over 70,80 over 50,110 over 70,150 over 100,200 over 140,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Science & Nature,,
The Anglo-Zanzibar War of 1896 is said to be the shortest war in history. Approximately how long did it last?,multiple_choice,40 minutes,4 months,40 days,4 days,4 hours,40 minutes,4 minutes,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,History,,
"According to the lyrics of the hit 1984 song, ""if there's something strange in your neighbourhood, who you gonna call""?",text_answer,Ghostbusters,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Music,,
How many letters make up the word 'procrastination'?,number,15 (Procrastination),,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,General Knowledge,,
"Despite support from Donald Trump and Vladimir Putin, the far-right Viktor Orban was recently ousted as prime minister of which EU country after 16 years in power?",text_answer,Hungary (rival Péter Magyar won a landslide election victory),,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references recent political event and current office-holder
This Disney villain first appeared in what movie?,text_answer,The Little Mermaid,,,,,,,Quizsentials,,True,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
The documentary entitled 'I Am Cait' followed the transformation of which former US athlete?,text_answer,Bruce Jenner,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references person's transformation; outdated name usage
Which metal was used to construct the outside skin of the Statue of Liberty?,multiple_choice,Copper,Brass,Copper,Silver,Iron,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,History,,
This 2022 video of Bella Hadid wearing a white dress went viral. What was so special about the dress?,multiple_choice,It was spray-painted onto her,It was spray-painted onto her,It had only ever been worn by Marilyn Monroe before,It is made from spider silk,It is a hologram,,,Quizsentials,,True,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references specific viral video from 2022
"Angelo Poretti, or Poretti for short, is a beer brand from what country?",text_answer,Italy,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Food & Drink,,
What is the title of Stephen King's horror novel published in May 2018?,text_answer,The Outsider,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Literature & Language,Yes,references specific publication date in 2018
"Starting with the smallest, tap these things in size order.",sequence,Danish krone coin -> Danish pastry -> 12-week-old Great Dane puppy -> Danish footballer Christian Nørgaard -> Danish city Aalborg -> Danish capital Copenhagen,Danish krone coin,Danish pastry,12-week-old Great Dane puppy,Danish footballer Christian Nørgaard,Danish city Aalborg,Danish capital Copenhagen,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,5,10 May 2024,General Knowledge,,
Who is this video game antagonist?,text_answer,Ganondorf (from The Legend of Zelda),,,,,,,Quizsentials,,True,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
How many years are in a score?,number,20,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,General Knowledge,,
"Which 'Spider-Man' actor plays the lead role of Jonathan Larson in the 2021 musical film 'Tick, Tick... Boom!'?",text_answer,Andrew Garfield,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
Which original cast member from 'Wicked' made their Broadway debut in the musical 'Rent'?,text_answer,Idina Menzel,,,,,,,Quizsentials,,False,15 Apr 2026,Round 3 - Keypad.sqq,1,15 Apr 2026,Music,,
The man known as the Red Baron was the most victorious fighter pilot during World War One. How many confirmed kills did he have?,multiple_choice,80,10,20,40,80,160,320,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,History,,
"In what year did 'Grey's Anatomy' make its debut on TV, Mariah Carey's 'We Belong Together' was a long-running number one pop hit, and 'Be Cool' starring John Travolta and Uma Thurman was at the cinema?",multiple_choice,2005,1999,2002,2005,2008,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,General Knowledge,,
Which social media star broke the record for most viewed video on TikTok with a video of him flying on a magic broom like Harry Potter?,text_answer,Zach King,,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references TikTok record; records change over time
"The quote ""old age isn't so bad when you consider the alternative"" is commonly attributed to which French actor and singer?",text_answer,Maurice Chevalier,,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
Name the hit Taylor Swift song from this not particularly cryptic clue.,text_answer,Cardigan,,,,,,,Quizsentials,,True,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Music,,
The island 'Commonwealth of Dominica' sits in which sea or ocean?,multiple_choice,Caribbean,Caribbean,Indian,Pacific,Tasman,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Geography,,
"Which German footballer won the FIFA World Player of the Year award in 1991, a year after winning the Ballon d'Or?",text_answer,Lothar Matthaus,,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Sport,,
What is considered the perfect housewarming gift in Korea?,multiple_choice,Toilet paper,Potted plants,Cutlery,Bread,Toilet paper,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Food & Drink,,
Solve this mathematical problem.,number,370,,,,,,,Quizsentials,,True,15 Apr 2026,Round 2 - Keypad.sqq,18,24 Jan 2024,General Knowledge,,
Which pop star recently went viral after asking a fan to stop yodelling during her Coachella set?,text_answer,Sabrina Carpenter (The yodelling was an Arabic chant called a Zaghrouta; Carpenter has apologised for the misunderstanding),,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references recent viral incident at Coachella
"Tap these Superman actors in order, so that their first names are in alphabetical order.",sequence,Routh -> Reeve -> Corenswet -> Cavill,Routh,Reeve,Corenswet,Cavill,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
An ostentation is a collective noun for what bird?,text_answer,Peacocks (could also have a 'pride' of peacocks or a 'muster' of peacocks),,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Science & Nature,,
Max Planck is noted for originating what theory?,multiple_choice,Quantum theory,Theory of genetics,Cyclotron theory,Theory of evolution,Quantum theory,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Science & Nature,,
Which manufacturer produces this car?,text_answer,Porsche (Cayenne),,,,,,,Quizsentials,,True,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,General Knowledge,,
Which of these is the name of a Major League Baseball team?,multiple_choice,Atlanta Braves,Atlanta Braves,Atlanta Indians,Atlanta Rockies,Atlanta Royals,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Sport,,
"How many times do you live, according to the title of a 1960s James Bond film?",number,2 'You Only Live Twice',,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Film & TV,,
'Build Back Better' was a slogan used by which candidate in the 2020 US presidential election?,text_answer,Joe Biden,,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Current Affairs,Yes,references specific 2020 election event
"From earliest to latest, put these American conflicts in chronological order.",sequence,Revolutionary War -> Civil War -> World War Two -> Vietnam War -> Gulf War,Revolutionary War,Civil War,World War Two,Vietnam War,Gulf War,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,History,,
Which British supermodel was this 18-carat gold sculpture modelled on?,text_answer,Kate Moss,,,,,,,Quizsentials,,True,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Art & Culture,,
"'Filthy', 'Tunnel Vision', 'Mirrors' and 'Señorita' are songs that have been released by which American singer?",text_answer,Justin Timberlake,,,,,,,Quizsentials,,False,15 Apr 2026,Round 2 - Keypad.sqq,1,15 Apr 2026,Music,,
"In the film 'Star Wars Episode IV: A New Hope' as it appears on Disney+, including pre-film credits, how many seconds pass before we hear the line ""help me Obi-Wan Kenobi, you're my only hope"" for the first time?",number,"1,269 (21 minutes 9 seconds)",,,,,,,Nearest Wins,,False,13 Aug 2026,Round 4 - Nearest Wins.sqn,1,13 Aug 2026,Film & TV,Yes,version-specific timing for Disney+ edit
The name of which European country is also the name of a province in Belgium?,multiple_choice,Luxembourg,Lithuania,Latvia,Liechtenstein,Luxembourg,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Geography,,
Who was the captain of the sci-fi submarine 'Stingray' in the TV series of the same name?,text_answer,Troy Tempest,,,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Film & TV,,
"A dish with a breadcrumb and cheese crust is described as ""Au..."" what?",multiple_choice,Gratin,Naturel,Poivre,Gratin,Papillote,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Food & Drink,,
Which of the co-host countries wore this kit at this summer's FIFA World Cup?,text_answer,Canada,,,,,,,Quizsentials,,True,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Sport,Yes,references specific World Cup event
The liver is found mainly on which side of the human body?,multiple_choice,Right,Right,Left,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Science & Nature,,
Henry Morgan infamously carried out much of his piracy in which location?,multiple_choice,Caribbean Sea,Mediterranean Sea,Red Sea,Dead Sea,Caribbean Sea,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,History,,
What popular artist sang the song 'I'm Afraid of Americans'?,text_answer,David Bowie,,,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Music,,
Which of these phrases has the correct grammar / spelling at the end?,multiple_choice,These cupcakes sell for $2 apiece.,These cupcakes sell for $2 apiece.,These cupcakes sell for $2 a piece.,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Literature & Language,,
"Which aerospace company recently crashed a rocket into the surface of the moon, creating a new crater?",text_answer,SpaceX,,,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Current Affairs,Yes,uses 'recently' and specific event timing
Name this Nintendo brain-training game.,text_answer,Big Brain Academy,,,,,,,Quizsentials,,True,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,General Knowledge,,
"Starting with the earliest, tap these men in the order they first won 'World's Strongest Man'.",sequence,Geoff Capes -> Magnús Ver Magnússon -> Brian Shaw -> Eddie Hall -> Tom Stoltman,Geoff Capes,Magnús Ver Magnússon,Brian Shaw,Eddie Hall,Tom Stoltman,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Sport,Yes,"lists record-holders, order may change"
"What long-running horror video game franchise was adapted into a 2022 Netflix TV series starring Lance Reddick, only to be cancelled after one season?",text_answer,Resident Evil,,,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Film & TV,Yes,references 2022 series cancellation event
What German car company manufactures the A1?,text_answer,Audi,,,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,General Knowledge,,
Name the horror film from this picture.,text_answer,Obsession,,,,,,,Quizsentials,,True,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Film & TV,,
Which singer did Whitney Houston marry in 1992?,text_answer,Bobby Brown,,,,,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Music,,
The lager company Grolsch is of what nationality?,multiple_choice,Dutch,Dutch,Danish,German,Belgian,,,Quizsentials,,False,13 Aug 2026,Round 1 - Keypad.sqq,1,13 Aug 2026,Food & Drink,,
